facility_name(시설명),business_type(업종명),road_address(소재지도로명주소),jibun_address(소재지지번주소),latitude(위도),longitude(경도),business_status(영업상태명),has_transport_vehicle(운반용차량보유여부),has_storage_facility(저장시설보유여부),phone(전화번호),supervising_agency(관리기관명),as_of_date(데이터기준일자),provider_org_code(제공기관코드),provider_org_name(제공기관명)
대신당건재약품,한약도매,경상남도 창원시 진해구 충장로 357 (경화동),경상남도 창원시 진해구 경화동 972-7,35.15391376,128.6911033,영업,Y,Y,,진해보건소,2026-01-28,5670000,경상남도 창원시
진양특수가스,의료용고압가스,경상남도 창원시 진해구 진해대로1114번길 122 (행암동),경상남도 창원시 진해구 행암동 31-5,35.1208696,128.7049918,영업,Y,Y,,진해보건소,2026-01-28,5670000,경상남도 창원시
삼일가스,의료용고압가스,경상남도 창원시 진해구 진해대로1114번길 122 (행암동),경상남도 창원시 진해구 행암동 31-5,35.1208696,128.7049918,영업,Y,Y,,진해보건소,2026-01-28,5670000,경상남도 창원시
"진해산소,일사가스",의료용고압가스,경상남도 창원시 진해구 진해대로1114번길 116 (행암동),경상남도 창원시 진해구 행암동 30-4,35.12128003,128.705798,영업,Y,Y,,진해보건소,2026-01-28,5670000,경상남도 창원시
진해건재한약품,한약도매,경상남도 창원시 진해구 이동로 40-1 (이동),경상남도 창원시 진해구 이동 611-2,35.1507936,128.6963003,영업,Y,Y,,진해보건소,2026-01-28,5670000,경상남도 창원시
(주)엠에스신항만가스,의료용고압가스,"경상남도 창원시 진해구 용원로101번길 12, (주)엠에스 신항만가스 (용원동)","경상남도 창원시 진해구 용원동 1121, (주)엠에스 신항만가스 (용원동)",35.09920148,128.820724,영업,Y,Y,,진해보건소,2026-01-28,5670000,경상남도 창원시
본초당건재한약품,한약도매,경상남도 창원시 진해구 경화로 22번길 4-1 (경화동),경상남도 창원시 진해구 경화동 465,35.15530008,128.6865425,영업,Y,Y,,진해보건소,2026-01-28,5670000,경상남도 창원시
에이팜,일반종합도매,"경상남도 창원시 의창구 하남천서길9번길 20-10(도계동, 우성빌라)",경상남도 창원시 의창구 도계동 312-21,35.26122236,128.6379675,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
와이디팜,일반종합도매,"경상남도 창원시 의창구 서상로12번길 29, 2층 202호 (서상동, 일심골든타워)",경상남도 창원시 의창구 서상동 213-2,35.26212378,128.6175786,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
삼우메디,일반종합도매,경상남도 창원시 의창구 서상로11번길 3 (동정동),경상남도 창원시 의창구 동정동 541-1,35.26263334,128.6141033,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)우진팜,일반종합도매,경상남도 창원시 의창구 사화로9번길 13 (팔용동),경상남도 창원시 의창구 팔용동 163-12,35.25838228,128.6097804,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
정약품,일반종합도매,경상남도 창원시 의창구 북면 천주로1165번길 32-11,경상남도 창원시 의창구 북면 신촌리 403-9,35.35650308,128.6077633,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)바른약품,일반종합도매,경상남도 창원시 의창구 북면 천주로1165번길 32-11,경상남도 창원시 의창구 북면 신촌리 403-9,35.35650308,128.6077633,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
송민유통,일반종합도매,"경상남도 창원시 진해구 석동로83번안길 4-10, 1층",경상남도 창원시 진해구 석동 633-5,35.1581365824,128.706222,영업,Y,N,,진해보건소,2026-01-28,5670000,경상남도 창원시
건후유통,일반종합도매,경상남도 창원시 의창구 북면 마산길42번길 25-1,경상남도 창원시 의창구 북면 마산리 202,35.34226092,128.6182239,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
